ID,Nama,Kode,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,Cat_X12,ZX12,PRE_1,RES_1
6,Kings,NY,71,2300664,28.3,12.4,4861,8942,680966,63.7,16.6,19.5,9.5,16803,38658,1,2,-0.43321,16909.06187,-106.06187
11,Philadelphia,PA,135,1585577,29.1,15.2,6641,10494,109148,64.3,15.2,16.1,8.0,16721,26512,1,2,-0.45341,16392.81158,328.18842
16,Middlesex,MA,824,1398468,31.7,12.5,5158,4152,35825,84.3,35.4,4.2,7.3,25312,35398,1,3,1.66302,23841.56570,1470.43430
17,Allegheny,PA,730,1336449,26.2,17.4,5281,8436,50186,79.0,22.6,8.7,5.3,20681,27639,1,2,0.52215,19121.56309,1559.43691
18,Suffolk,NY,911,1321864,27.9,10.8,3021,3904,66723,82.2,23.0,3.3,7.0,24262,32071,1,3,1.40435,19269.06318,4992.93682
19,Nassau,NY,287,1287348,25.7,14.2,6147,5200,43203,84.2,30.0,2.5,5.1,31679,40782,1,4,3.23156,21850.31460,9828.68540
29,Erie,NY,1045,968532,27.3,15.2,2748,4632,55306,76.4,20.0,9.4,6.8,18305,17729,1,2,-0.06319,18162.81256,142.18744
32,Westchester,NY,433,874866,26.3,14.4,4577,3540,37118,81.0,35.3,4.7,5.4,33330,29159,1,4,3.63829,23804.69068,9525.30932
35,Hartford,CT,736,851783,28.3,14.1,2851,2940,51926,77.7,25.8,6.0,6.9,24875,21188,1,3,1.55536,20301.56375,4573.43625
39,Fairfield,CT,626,827645,26.7,13.3,2417,2494,44374,81.0,34.2,4.5,5.9,32342,26768,1,4,3.39489,23399.06546,8942.93454
41,Bergen,NJ,234,825380,25.4,15.3,3226,2279,28521,81.6,31.7,2.7,5.2,32230,26602,1,4,3.36730,22477.18995,9752.81005
43,New_Haven,CT,606,804219,28.7,14.7,3161,2486,52903,77.5,24.2,6.0,7.3,22197,17851,1,2,0.89563,19711.56342,2485.43658
47,Essex,NJ,126,778206,28.6,12.7,2811,4841,75595,70.1,24.0,11.3,7.9,24523,19084,1,3,1.46865,19637.81338,4885.18662
55,Monroe,NY,659,713968,29.0,12.5,2438,3077,43780,80.1,26.3,7.7,4.4,21641,15451,1,2,0.75865,20485.93885,1155.06115
56,Worcester,MA,1513,709705,29.2,13.7,1902,2205,7099,77.4,22.2,6.3,10.2,19895,14120,1,2,0.32852,18974.06301,920.93699
58,Montgomery,PA,483,678111,26.1,15.0,3237,2425,20335,83.8,32.1,2.2,5.0,28462,19300,1,3,2.43904,22624.69003,5837.30997
61,Middlesex,NJ,311,671780,31.6,11.8,1637,1880,30548,79.4,26.5,3.4,5.7,24896,16725,1,3,1.56054,20559.68889,4336.31111
62,Essex,MA,498,670080,27.3,14.1,1185,2009,34312,80.2,25.9,7.5,9.0,22834,15301,1,2,1.05255,20338.43877,2495.56123
67,Suffolk,MA,59,663906,39.2,12.1,5674,6154,68808,75.4,27.7,14.4,8.7,23150,15369,1,2,1.13040,21002.18913,2147.81087
72,Norfolk,MA,400,616087,28.8,14.1,2758,1903,14830,88.0,34.4,3.1,7.5,26909,16578,1,3,2.05645,23472.81550,3436.18450
75,Providence,RI,413,596270,29.9,15.8,1862,2360,34627,67.0,18.3,8.9,9.0,17866,10653,1,2,-0.17134,17535.93722,330.06278
81,Monmouth,NJ,472,553124,25.6,12.7,1300,1904,22302,82.8,28.4,3.4,5.8,27391,15151,1,3,2.17519,21260.31428,6130.68572
82,Hudson,NJ,47,553099,31.5,12.7,1036,2443,40581,64.1,19.7,12.4,9.0,18463,10212,1,2,-0.02426,18052.18750,410.81250
83,Delaware,PA,184,547651,27.6,15.5,1374,1588,18924,81.4,24.8,5.0,5.3,23658,12956,1,3,1.25555,19932.81354,3725.18646
86,Bucks,PA,608,541174,26.6,10.9,879,1435,16894,82.9,24.8,2.9,6.7,22548,12202,1,2,0.98210,19932.81354,2615.18646
91,Bristol,MA,556,506325,27.6,14.4,572,1306,22023,65.0,15.9,7.4,12.3,18521,9378,1,2,-0.00997,16650.93673,1870.06327
93,Camden,NJ,222,502824,27.5,12.2,1255,2041,34814,75.5,21.0,8.0,6.9,19930,10021,1,2,0.33714,18531.56277,1398.43723
96,Union,NJ,103,493819,26.8,15.0,1362,2541,30299,75.2,25.0,5.3,6.9,26248,12962,1,3,1.89361,20006.56358,6241.43642
101,Onondaga,NY,780,468973,29.4,13.0,1534,1668,23249,80.7,24.4,7.1,5.6,19401,9099,1,2,0.20682,19785.31346,-384.31346
105,Hampden,MA,619,456310,27.8,14.8,904,1665,24247,73.6,17.6,10.9,9.6,19073,8703,1,2,0.12601,17277.81207,1795.18793
106,Passaic,NJ,185,453060,28.9,12.9,831,1912,26434,68.8,18.7,7.6,8.1,21973,9955,1,2,0.84044,17683.43730,4289.56270
109,New_Castle,DE,426,441946,30.6,11.4,1038,1488,27717,80.6,25.2,5.0,6.2,22284,9848,1,2,0.91706,20080.31362,2203.68638
111,Plymouth,MA,661,435276,27.1,11.6,576,813,14846,83.8,22.2,5.3,10.4,21500,9358,1,2,0.72392,18974.06301,2525.93699
112,Ocean,NJ,636,433203,22.4,23.2,513,1475,17379,74.9,15.3,4.3,7.4,20974,9086,1,2,0.59433,16429.68660,4544.31340
116,Lancaster,PA,949,422822,27.2,13.1,574,1241,13086,70.5,16.7,5.3,5.3,18878,7982,1,2,0.07798,16945.93689,1932.06311
117,Morris,NJ,469,421353,26.7,10.6,1147,1599,12147,87.0,36.7,1.8,5.1,31520,13281,1,4,3.19239,24320.94097,7199.05903
124,Burlington,NJ,805,395066,28.8,10.7,719,1150,13034,81.9,23.6,3.1,5.6,23008,9090,1,2,1.09542,19490.31330,3517.68670
131,Chester,PA,756,376396,27.1,10.9,594,920,9491,84.9,34.7,3.0,4.6,24732,9309,1,3,1.52013,23583.44056,1148.55944
134,Westmoreland,PA,1023,370321,23.3,17.1,522,1306,7445,77.7,15.4,8.6,6.9,17069,6321,1,2,-0.36768,16466.56163,602.43837
146,York,PA,905,339574,26.6,13.1,460,951,11292,72.8,13.9,4.3,6.2,19502,6622,1,2,0.23170,15913.43632,3588.56368
147,Berks,PA,859,336523,26.1,15.6,567,1041,12827,70.0,15.1,5.2,6.7,19655,6614,1,2,0.26939,16355.93656,3299.06344
148,Hillsborough,NH,877,336073,30.0,10.3,587,1050,12843,82.2,26.4,4.0,7.5,22581,7589,1,2,0.99023,20522.81387,2058.18613
151,Luzerne,PA,891,328149,24.1,19.7,594,1495,4982,72.0,13.1,8.3,8.8,16405,5383,1,2,-0.53126,15618.43616,786.56384
152,Mercer,NJ,226,325824,29.2,13.0,994,1724,20153,77.1,29.5,5.3,5.5,26026,8480,1,3,1.83892,21665.93950,4360.06050
157,Orange,NY,816,307647,28.0,10.4,479,986,10975,77.2,19.5,6.4,6.7,19788,6088,1,2,0.30216,17978.43746,1809.56254
161,Albany,NY,524,292594,30.4,14.7,1257,1246,15077,80.9,28.3,6.0,4.5,21003,6145,1,2,0.60148,21223.43926,-220.43926
164,Lehigh,PA,347,291130,26.3,15.4,637,1305,12254,74.6,19.6,4.9,6.6,19785,5760,1,2,0.30142,18015.31248,1769.68752
174,Erie,PA,802,275572,27.5,13.8,468,1417,9936,77.5,16.2,9.5,7.1,16331,4500,1,2,-0.54949,16761.56179,-430.56179
180,Rockland,NY,174,265475,25.5,10.1,931,745,7194,83.3,33.0,4.1,5.3,26757,7103,1,3,2.01900,22956.56522,3800.43478
189,Dutchess,NY,802,259462,29.0,11.4,535,741,9087,79.8,24.8,3.6,5.1,22173,5753,1,2,0.88971,19932.81354,2240.18646
190,New_London,CT,666,254957,31.2,11.9,486,515,7807,80.9,21.8,4.7,6.8,20259,5165,1,2,0.41819,18826.56293,1432.43707
194,Oneida,NY,1213,250836,27.7,15.5,437,905,9234,75.1,16.7,8.8,6.7,16477,4133,1,2,-0.51352,16945.93689,-468.93689
197,Northampton,PA,374,247105,26.9,15.0,459,933,6452,73.1,16.7,4.9,6.8,18336,4531,1,2,-0.05555,16945.93689,1390.06311
199,Rockingham,NH,695,245845,29.0,9.2,343,514,7295,86.2,25.9,3.2,8.0,21770,5352,1,2,0.79043,20338.43877,1431.56123
200,Cumberland,ME,836,243135,29.1,13.0,732,1104,13816,85.0,27.6,5.7,5.7,21362,5194,1,2,0.68992,20965.31411,396.68589
201,Somerset,NJ,305,240279,28.6,10.8,783,374,8308,86.3,38.3,1.4,4.1,33180,7972,1,4,3.60134,24910.94130,8269.05870
205,Dauphin,PA,525,237813,26.8,14.3,824,1425,11563,77.6,18.6,7.2,5.5,18348,4363,1,2,-0.05259,17646.56228,701.43772
207,Gloucester,NJ,325,230082,28.0,10.8,199,339,9746,77.5,18.1,4.7,7.1,18523,4262,1,2,-0.00948,17462.18718,1060.81282
215,Atlantic,NJ,561,224327,29.0,14.5,379,990,25167,72.9,16.4,6.4,8.3,24035,5392,1,3,1.34843,16835.31183,7199.68817
218,Niagara,NY,523,220756,25.8,15.1,239,893,9437,75.8,13.6,8.6,8.3,16647,3675,1,2,-0.47164,15802.81126,844.18874
219,Lackawanna,PA,459,219039,24.3,19.8,429,1136,4368,73.3,14.8,7.8,7.9,16963,3716,1,2,-0.39379,16245.31150,717.68850
227,Broome,NY,707,212160,28.6,15.0,460,816,7435,78.9,20.7,6.5,5.9,18058,3831,1,2,-0.12403,18420.93771,-362.93771
234,Washington,PA,857,204584,23.7,17.5,236,687,4526,73.2,13.6,9.7,7.0,16625,3401,1,2,-0.47706,15802.81126,822.18874
236,Cumberland,PA,550,195257,28.6,13.4,375,733,5247,81.0,22.9,2.8,4.6,19254,3759,1,2,0.17060,19232.18816,21.81184
249,Barnstable,MA,396,186605,22.1,22.0,336,384,7441,88.4,28.1,5.8,11.1,23267,4342,1,3,1.15923,21149.68922,2117.31078
251,Beaver,PA,435,186093,23.6,16.9,197,616,4088,74.9,11.9,10.8,9.7,15162,2822,1,1,-0.83748,15175.93591,-13.93591
260,Saratoga,NY,812,181276,28.4,10.3,215,221,5281,83.0,25.2,4.4,5.9,18857,3418,1,2,0.07280,20080.31362,-1223.31362
268,Litchfield,CT,920,174092,25.4,14.1,278,411,3593,80.9,25.0,2.4,7.0,25161,4380,1,3,1.62582,20006.56358,5154.43642
277,Ulster,NY,1127,165304,27.8,13.0,258,413,4701,76.6,21.6,5.6,5.9,18824,3112,1,2,0.06467,18752.81289,71.18711
280,York,ME,991,164587,26.4,12.6,172,404,6027,79.5,19.0,4.7,6.9,17908,2947,1,2,-0.16099,17794.06236,113.93764
281,Cambria,PA,688,163029,23.0,18.7,301,892,3187,71.2,10.8,11.2,9.2,14473,2360,1,1,-1.00722,14770.31069,-297.31069
285,Kent,RI,170,161135,26.2,15.1,264,359,7302,76.8,20.5,3.7,8.6,20086,3237,1,2,0.37557,18347.18767,1738.81233
290,Rensselaer,NY,654,154429,29.8,13.2,213,616,5297,77.7,19.5,6.6,6.3,17774,2745,1,2,-0.19400,17978.43746,-204.43746
292,Schuylkill,PA,779,152585,22.9,20.0,147,634,2119,68.4,8.1,7.7,9.7,15853,2419,1,1,-0.66725,13774.68514,2078.31486
295,Butler,PA,789,152013,27.0,13.5,127,261,3420,78.6,15.6,7.1,6.8,17251,2622,1,2,-0.32284,16540.31167,710.68833
305,Schenectady,NY,206,149285,26.1,16.5,403,721,6364,80.7,23.0,5.7,5.6,20679,3087,1,2,0.52166,19269.06318,1409.93682
309,Penobscot,ME,3396,146601,30.0,11.5,268,598,4749,79.1,17.7,9.5,8.0,15521,2275,1,1,-0.74904,17314.68709,-1793.68709
310,Hampshire,MA,529,146568,38.2,11.6,348,236,2547,83.0,31.9,5.7,7.7,17853,2617,1,2,-0.17454,22550.93999,-4697.93999
314,Fayette,PA,790,145351,22.9,18.0,124,409,3612,67.8,9.3,17.6,9.4,14051,2042,1,1,-1.11118,14217.18538,-166.18538
320,Middlesex,CT,369,143196,28.4,13.1,340,235,3409,82.6,28.2,2.6,5.8,24132,3456,1,3,1.37232,21186.56424,2945.43576
324,Chautauqua,NY,1062,141895,25.7,15.7,164,653,5178,74.4,14.2,9.9,7.7,15197,2156,1,1,-0.82886,16024.06138,-827.06138
330,Berkshire,MA,931,139352,26.0,16.9,375,598,3862,77.9,20.9,6.3,10.1,20068,2797,1,2,0.37114,18494.68775,1573.31225
331,Cumberland,NJ,489,138053,26.7,13.5,181,534,9071,63.4,10.8,10.2,10.7,16819,2322,1,2,-0.42927,14770.31069,2048.68931
339,Chittenden,VT,539,131761,35.8,8.1,696,573,4739,86.7,34.0,5.0,4.4,19940,2627,1,2,0.33960,23325.31542,-3385.31542
342,Sussex,NJ,521,130943,26.3,8.9,133,261,3174,85.1,24.9,2.5,6.8,24405,3196,1,3,1.43958,19969.68856,4435.31144
345,Blair,PA,526,130542,23.7,17.0,213,654,3196,75.0,10.5,11.0,9.0,14779,1929,1,1,-0.93183,14659.68563,119.31437
348,Tolland,CT,410,128699,33.9,9.0,164,173,1799,84.7,29.2,2.7,5.9,21944,2824,1,2,0.83330,21555.31444,388.68556
357,Centre,PA,1108,123786,45.0,9.0,178,270,4136,83.6,32.3,6.2,6.1,15476,1916,1,1,-0.76012,22698.44007,-7222.44007
364,Oswego,NY,953,121771,29.8,10.7,79,269,3582,74.7,12.9,8.1,10.0,14834,1806,1,1,-0.91828,15544.68612,-710.68612
365,Franklin,PA,772,121082,25.5,14.4,136,296,3155,69.4,12.4,5.7,6.7,16281,1971,1,2,-0.56181,15360.31101,920.68899
366,Mercer,PA,672,121003,24.5,17.2,150,653,2777,75.1,13.6,10.1,7.2,15177,1836,1,1,-0.83378,15802.81126,-625.81126
370,Merrimack,NH,935,120005,27.7,12.1,237,368,3325,83.2,25.4,3.6,7.1,20600,2472,1,2,0.50220,20154.06366,445.93634
376,Lycoming,PA,1235,118710,25.4,15.1,232,668,3826,74.5,12.3,8.4,8.0,15778,1873,1,1,-0.68572,15323.43599,454.56401
382,Kennebec,ME,868,115904,26.1,13.4,241,497,4184,78.9,18.1,7.3,6.8,17131,1986,1,2,-0.35241,17462.18718,-331.18718
387,Lebanon,PA,362,113744,25.3,15.0,162,196,2919,70.0,11.8,5.2,5.9,16500,1877,1,2,-0.50786,15139.06089,1360.93911
393,St._Lawrence,NY,2686,111974,31.2,12.1,132,378,3851,73.1,15.1,12.8,9.8,12704,1423,1,1,-1.44302,16355.93656,-3651.93656
397,Kent,DE,591,110993,29.7,10.3,123,193,5846,73.1,15.0,8.7,7.6,14946,1659,1,1,-0.89069,16319.06154,-1373.06154
399,Jefferson,NY,1272,110943,32.7,10.9,124,336,3064,76.4,13.6,9.5,11.0,15205,1687,1,1,-0.82688,15802.81126,-597.81126
402,Washington,RI,333,110006,31.0,12.3,162,241,3838,82.8,29.1,3.7,6.7,19449,2140,1,2,0.21864,21518.43942,-2069.43942
410,Hunterdon,NJ,430,107776,25.6,9.5,184,182,2068,85.9,34.6,1.8,4.1,30255,3261,1,3,2.88075,23546.56554,6708.43446
421,Androscoggin,ME,470,105259,27.9,13.4,198,527,4020,71.8,12.6,8.7,9.7,16154,1700,1,2,-0.59309,15434.06105,719.93895
425,Strafford,NH,369,104233,34.8,10.7,139,237,3651,79.8,21.7,5.1,6.5,17182,1791,1,2,-0.33984,18789.68791,-1607.68791
432,Windham,CT,513,102525,28.5,12.5,123,254,1397,71.1,16.8,6.0,9.2,18070,1853,1,2,-0.12108,16982.81191,1087.18809
2,Cook,IL,946,5105067,29.2,12.4,15153,21550,436936,73.4,22.8,11.1,7.2,21729,110928,2,2,0.78033,19195.31313,2533.68687
8,Wayne,MI,614,2111687,27.4,12.5,3823,9490,193978,70.0,13.7,16.9,10.0,17461,36872,2,2,-0.27111,15839.68628,1621.31372
15,Cuyahoga,OH,458,1412140,26.3,15.6,5620,8132,73150,74.0,20.1,11.0,5.5,21086,29776,2,2,0.62193,18199.68758,2886.31242
25,Oakland,MI,873,1083592,27.6,10.9,4020,3254,50964,84.6,30.2,4.4,7.3,26884,29131,2,3,2.05029,21924.06464,4959.93536
27,Hennepin,MN,557,1032431,31.6,11.3,3706,5395,71753,88.2,31.6,6.4,4.3,23705,24474,2,3,1.26713,22440.31493,1264.68507
28,St._Louis,MO,508,993529,26.1,13.1,1194,1056,42595,82.3,29.2,4.0,5.1,24219,24062,2,3,1.39375,21555.31444,2663.68556
30,Franklin,OH,540,961437,33.5,9.6,2675,4011,82680,81.0,26.6,9.1,4.2,19040,18306,2,2,0.11789,20596.56391,-1556.56391
31,Milwaukee,WI,242,959275,29.3,13.6,2774,4141,73681,76.3,19.3,12.6,4.9,18431,17680,2,2,-0.03214,17904.68742,526.31258
33,Hamilton,OH,407,866228,28.0,13.3,3164,4683,57208,75.6,23.7,10.3,4.5,20580,17827,2,2,0.49727,19527.18832,1052.81168
45,Marion,IN,396,797159,30.6,11.7,2936,4654,61004,76.8,21.4,9.3,5.0,19148,15264,2,2,0.14449,18679.06285,468.93715
46,DuPage,IL,334,781666,29.0,8.7,2157,1842,29708,88.6,36.0,1.7,4.8,26772,20927,2,3,2.02270,24062.81583,2709.18417
54,Macomb,MI,480,717400,28.2,12.3,705,1202,41048,76.9,13.5,4.0,9.4,20924,15011,2,2,0.58202,15765.93624,5158.06376
71,Jackson,MO,605,633232,28.1,13.1,1695,3762,61760,79.5,20.0,9.8,6.5,18611,11785,2,2,0.01220,18162.81256,448.18744
80,Montgomery,OH,462,573809,28.1,12.6,1313,3068,36665,77.8,20.0,9.8,5.7,18410,10564,2,2,-0.03732,18162.81256,247.18744
87,Lake,IL,448,516418,28.9,8.4,1093,1499,22349,84.7,32.0,3.7,4.6,27378,14138,2,3,2.17199,22587.81501,4790.18499
88,Summit,OH,413,514990,26.8,13.8,1216,2226,26228,78.3,19.7,9.5,6.0,18583,9570,2,2,0.00530,18052.18750,530.81250
94,Kent,MI,856,500631,29.6,10.8,1007,1460,31553,80.3,20.7,6.9,7.5,18674,9349,2,2,0.02772,18420.93771,253.06229
97,Ramsey,MN,156,485765,31.0,12.2,1512,1140,30574,85.0,28.8,8.1,4.3,20303,9862,2,2,0.42903,21407.81436,-1104.81436
100,Lake,IN,497,475594,25.5,12.3,707,2413,29926,73.5,12.8,11.7,7.1,16327,7765,2,2,-0.55047,15507.81110,819.18890
104,Lucas,OH,340,462361,27.8,13.0,1391,3021,38194,76.2,17.0,12.0,8.8,17815,8237,2,2,-0.18390,17056.56195,758.43805
113,Genesee,MI,640,430459,27.2,10.2,692,1830,33136,76.8,12.8,14.0,12.6,16829,7244,2,2,-0.42680,15507.81110,1321.18890
118,Douglas,NE,331,416444,29.0,11.4,1603,2889,26006,84.5,24.9,8.1,2.9,19629,8174,2,2,0.26299,19969.68856,-340.68856
120,Sedgwick,KS,1000,403662,28.5,11.4,930,1840,34071,82.4,22.2,8.3,4.5,19276,7781,2,2,0.17602,18974.06301,301.93699
123,St._Louis_City,MO,62,396685,28.7,16.6,4189,7814,64103,62.8,15.3,20.6,9.0,18113,7185,2,2,-0.11049,16429.68660,1683.31340
136,Stark,OH,576,367585,24.9,14.4,595,1537,17466,76.0,14.3,8.9,6.9,16898,6211,2,2,-0.40981,16060.93640,837.06360
137,Dane,WI,1202,367085,35.6,9.3,1603,1382,20344,88.9,34.2,4.8,3.1,20087,7374,2,2,0.37582,23399.06546,-3312.06546
139,Will,IL,837,357313,27.4,8.6,298,746,16432,80.4,18.0,4.5,7.4,18787,6713,2,2,0.05556,17425.31216,1361.68784
141,Johnson,KS,477,355054,27.5,9.4,1173,925,15238,92.9,40.5,2.5,3.3,26156,9287,2,3,1.87094,25722.19174,433.80826
154,Kane,IL,521,317471,27.8,9.3,473,1263,16721,77.7,21.4,5.0,7.5,21684,6884,2,2,0.76925,18679.06285,3004.93715
158,Waukesha,WI,556,304715,24.4,9.8,687,677,8935,88.0,27.1,2.2,4.1,23004,7010,2,2,1.09443,20780.93901,2223.06099
159,Allen,IN,657,300836,27.4,11.4,552,1268,19842,81.2,19.0,5.6,5.9,19123,5753,2,2,0.13833,17794.06236,1328.93764
162,Butler,OH,467,291479,29.9,10.2,308,878,13850,76.0,18.7,7.6,6.6,16750,4882,2,2,-0.44627,17683.43730,-933.43730
168,Washtenaw,MI,710,282937,39.5,7.5,2188,1730,19367,87.2,41.9,6.4,6.0,22782,6446,2,2,1.03974,26238.44203,-3456.44203
170,Ingham,MI,559,281912,37.4,8.7,729,1438,17337,83.9,29.2,11.0,6.9,17458,4922,2,2,-0.27185,21555.31444,-4097.31444
175,Dakota,MN,570,275227,30.6,6.4,201,283,10953,90.7,27.6,3.3,4.7,21123,5814,2,2,0.63104,20965.31411,157.68589
178,Lorain,OH,493,271126,26.4,11.6,291,941,9864,75.3,12.3,9.1,9.5,16006,4340,2,1,-0.62955,15323.43599,682.56401
182,Mahoning,OH,415,264806,23.5,17.1,601,1473,13181,74.6,14.0,12.8,6.7,16256,4305,2,2,-0.56797,15950.31134,305.68866
185,St._Clair,IL,664,262852,26.8,12.7,329,1088,14563,72.6,14.7,13.9,8.4,16190,4256,2,2,-0.58423,16208.43648,-18.43648
193,Winnebago,IL,514,252913,26.5,12.7,521,910,19674,76.3,16.7,7.7,7.9,18376,4648,2,2,-0.04569,16945.93689,1430.06311
195,Madison,IL,725,249238,26.2,13.9,275,1120,10666,75.8,14.4,8.5,7.9,17980,4481,2,2,-0.14325,16097.81142,1882.18858
198,St._Joseph,IN,457,247052,28.2,14.1,417,927,10637,76.1,19.2,7.1,5.7,17211,4252,2,2,-0.33270,17867.81240,-656.81240
210,Trumbull,OH,616,227813,23.9,14.4,225,925,7315,75.2,11.4,9.4,7.9,16144,3678,2,2,-0.59556,14991.56081,1152.43919
216,Kalamazoo,MI,562,223411,32.4,10.6,614,793,15306,83.4,27.1,8.9,5.9,18288,4086,2,2,-0.06737,20780.93901,-2492.93901
